count,field,value,recommended_action
1,Isolation_Source_SD,"ATCC 6940, NCTC 764, IFO 15291",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 49725,route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 51866,route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 14266, IFO 15360, NCTC 10254, PCM 2414",route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 700975, DSM 44827, CCUG 48176",route to controlled category or manual_review
1,Isolation_Source_SD,"DSM 20306, ATCC 6871, NCIB 8143, NCTC 2398",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 43734,route to controlled category or manual_review
1,Isolation_Source_SD,from ATCC 14067 by mutation breeding,route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 25986, CCUG 28087, DSM 3979, KCTC 3647, JCM 10188",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 27560,route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 43184,route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 43325, NCTC 11617",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 29174,route to controlled category or manual_review
1,Isolation_Source_SD,"DSM 20583, ATCC 27752",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 35580,route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 35198,route to controlled category or manual_review
1,Isolation_Source_SD,"DSM 4541, ATCC 33673",route to controlled category or manual_review
1,Isolation_Source_SD,"NCTC 10286, DSM 30120, CIP 82.90, ATCC 9886",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC PTA-4659,route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 14931, NCIB 11840",route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 49540, NCTC 12197",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 55730,route to controlled category or manual_review
1,Isolation_Source_SD,parent strain THC 02-90 passaged with rifampicin,route to controlled category or manual_review
